issue,word,pages
147,3d,14
147,5-layer,14
147,abduction,6
147,able,19
147,about,2
147,about,"3, 10, 17"
147,about,"2-3, 5, 8, 10, 12, 15-20"
147,about,2
147,above,7
147,above,"4, 10-11, 20"
147,absolutely,11
147,abstracts,3
147,academy,"2, 5"
147,acceptable,3
147,access,9
147,accessed,3
147,accessible,2
147,accessible,2
147,accident,"12, 18"
147,accommodation,20
147,ace,19
147,acknowledgement,11
147,acquired,10
147,across,17
147,across,"3, 20"
147,action,3
147,active,12
147,actually,"4, 11"
147,add,"2, 7, 12, 15"
147,added,"7, 9, 12"
147,addict,7
147,address,"11, 13"
147,adjacent,5
147,admire,3
147,admits,3
147,adrian,"2, 19"
147,adults,19
147,advanced,8
147,adventure,12
147,advertisement,14
147,advertising,15
147,aec,15
147,afar,7
147,after,"8-10, 15, 17"
147,after,"2-3, 8, 10-11, 18, 20"
147,afternoon,3
147,afterwards,20
147,again,12
147,again,3
147,again,19
147,again,18
147,again,"2, 10, 13, 17"
147,again,"2, 18"
147,age,11
147,ago,12
147,ago,"10, 19"
147,agree,2-3
147,agreed,17
147,aim,"7, 20"
147,aimed,19
147,air,15
147,air,15-16
147,airfix,15
147,airline,16
147,airport,20
147,airways,16
147,alan,"4, 14, 20"
147,alans,4
147,album,"4, 15"
147,ali,11
147,alice,4
147,alison,"2, 19"
147,all,17
147,all,"7, 12-13, 18"
147,all,"2-5, 7-11, 13-14, 17-20"
147,allen,15
147,all-iron,15
147,allocated,20
147,almost,"7, 17-18"
147,alone,8
147,alone,8
147,along,"8, 12-13"
147,already,18
147,also,"2-3, 5-8, 11, 13-14, 16-18"
147,although,7
147,although,"3, 11, 13, 18"
147,always,11
147,always,2
147,amazed,11
147,amber,4
147,amelda,12
147,america,15
147,american,"5, 16, 19"
147,american,16
147,among,18
147,among,"11, 16"
147,amongst,"2-3, 13"
147,amounts,4
147,amusing,16
147,ancestry,18
147,ancient,15
147,and,"3, 20"
147,and,"10, 18"
147,and,2-20
147,and,2
147,andrew,10
147,anglia,19
147,anglia,19
147,animals,19
147,anne,"16, 19"
147,announcements,2
147,announcing,17
147,annually,15
147,another,"2, 4, 18"
147,another,"3, 8, 12, 14"
147,ansons,15
147,answered,19
147,answers,10
147,antique,18
147,any,7
147,any,"5, 8-9, 11, 13"
147,anyone,"5, 7, 18-19"
147,anything,20
147,anything,"3, 11, 18-19"
147,anywhere,10
147,apart,"8, 10-11"
147,appealing,7
147,appear,"10, 13"
147,appreciate,8
147,appreciated,18
147,appreciation,11
147,april,"17, 19"
147,aquitania,15
147,aquitania,15
147,archiving,"2, 16"
147,archivist,3
147,are,3
147,are,"2-13, 16-20"
147,area,20
147,area,"9, 11, 20"
147,arms,4
147,armstrong,"2, 5, 7, 9, 16, 20"
147,armstrong,16
147,armstrongs,4
147,arnolfini,5
147,around,"3-4, 7-8, 12, 15, 17"
147,arranged,18
147,array,8
147,arrival,16
147,arrive,20
147,arrived,2
147,art,4
147,art,"8, 10, 12"
147,arteno,16
147,artenos,16
147,arthur,5
147,artifact,"2, 8"
147,artifacts,8
147,artist,"2, 7-8"
147,artist,12
147,artistry,8
147,artists,12
147,artworks,8
147,artworks,11
147,arundel,2
147,asked,19
147,asking,7
147,aspects,14
147,assemble,8
147,assumed,8
147,assumption,11
147,astfalck,12
147,astfalck,12
147,attendance,3
147,attended,"2, 17"
147,attending,"8, 17"
147,attract,2
147,attraction,15
147,attributed,10
147,atwell,6
147,auction,4
147,auction,"2, 14"
147,authority,2
147,authors,"2, 9"
147,available,"9, 20"
147,average,13
147,avonmore,11
147,avril,"3, 14"
147,avro,15
147,awarded,15
147,aware,13
147,away,15
147,away,"8, 10-11, 18"
147,aye,4
147,back,"3, 8, 11-12, 18-19"
147,background,16
147,background,6
147,background,"4, 8"
147,bacon,5
147,baggage,10
147,bagged,19
147,bags,12
147,baked,2-3
147,band,12
147,bar,20
147,barge,16
147,barker,13
147,barker,19
147,barossa,13
147,barton-on-sea,19
147,base,12-13
147,based,7-8
147,bath,10-11
147,battle,16
147,battling,3
147,bay,15
147,bcd,"2, 19"
147,bcd,"2, 4, 6-7, 9, 11, 17-20"
147,bcd,10
147,beach,15
147,beans,3
147,beats,3
147,beautiful,4
147,beautiful,18
147,beautifully,"4, 10, 13"
147,beauty,11
147,became,"5, 8"
147,because,18
147,because,"7-8, 10, 18-19"
147,become,"7-8, 15"
147,bedfordshire,10
147,been,"2-5, 8-9, 11-13, 18"
147,before,7
147,before,"8, 18"
147,beforehand,20
147,began,"5-6, 8, 18"
147,begin,11
147,being,"3, 11, 13, 15"
147,believe,11
147,bell,2
147,bellatrix,"7, 12"
147,belong,"3, 18"
147,belonged,18
147,beloved,8
147,below,6
147,below,6
147,below,5
147,below,13
147,below,8
147,benefit,3
147,best,6
147,best,"8, 11, 18-19"
147,better,"8, 19"
147,better,18
147,between,"6, 11, 13, 15"
147,beware,13
147,bhs,4
147,big,"7, 17"
147,bildajig,14
147,bildajigs,14
147,birds,"8, 17"
147,birmingham,20
147,birthday,6
147,biscuits,11
147,biscuits,11
147,bit,12-13
147,bitterne,2
147,bjpl,16
147,blank,4
147,blast,17
147,bletchley,5
147,blind,4
147,blind,14
147,blossoms,8
147,boasted,6
147,boat,16
147,boat,14
147,boat,"3, 14-15"
147,boats,15
147,boats,15
147,bob,16
147,bog,17
147,bomber,14
147,bomber,14
147,book,17
147,book,"4, 6, 10, 20"
147,book,10
147,books,10
147,books,3
147,border,8
147,borders,13
147,bore,10
147,boring,8
147,boring,8
147,born,"5, 10"
147,borrow,7
147,both,"3, 10"
147,both,9
147,both,"4, 7, 9, 11, 13, 18"
147,bottle,5
147,bottom,17
147,bought,"3, 7, 14, 18-19"
147,bowling,3
147,box,15
147,box,"4, 8, 10-13, 16, 18"
147,boxed,13
147,boxes,19
147,boxes,"2, 11"
147,boxes,8
147,branches,8
147,brands,7
147,brands,7
147,brewery,17
147,brewing,19
147,brick,13
147,bridge,12
147,bright,8
147,bring,"2, 11-12"
147,briscoe,11
147,briscoe,10
147,briscoe,11
147,briscoe,11
147,briscoe,10
147,briscoe,"2, 10-11"
147,briscoes,11
147,britain,16
147,british,"4, 10"
147,british,"7, 12, 16, 19"
147,broad,12
147,bronwen,19
147,bronwen,"6-7, 11, 16, 20"
147,bronwen,18
147,brought,"2-3, 5, 14-15"
147,brown,10
147,buff,4
147,built,15
147,bundle,18
147,bunny,12
147,bunny,7
147,burton-on-trent,2
147,burton-on-trent,19
147,bus,14
147,business,17
147,business,12
147,businesses,12
147,but,"8, 13, 18"
147,but,"2-3, 7-11, 13, 18-20"
147,buy,"2, 16"
147,buysellswapchat,7
147,buysellswapchat,7
147,buying,"8, 12"
147,cabinets,8
147,cake,3
147,cakes,2
147,cakes,3
147,caledonia,6
147,calendar,7
147,california,15
147,called,18
147,came,"10, 18"
147,camels,10
147,can,"3, 7-11, 13, 17-18, 20"
147,canadian,10
147,cannot,11
147,cant,"2, 8"
147,caption,9-10
147,capture,2
147,car,15
147,card,"6, 8, 16"
147,card,"8, 12-13"
147,cardboard,"4, 8, 11-12, 14, 18"
147,cargo,14
147,carmichael,19
147,carol,19
147,caronia,14
147,carted,10
147,cases,13
147,castle,5
147,castle,16
147,casual,8
147,cat,11
147,catalogue,"3, 11"
147,catching,2
147,category,8
147,cater,20
147,cat-n-dog,5
147,cats,11
147,caught,11
147,cavallini,11
147,central,2
147,centre,20
147,centre,5
147,century,10
147,century,4
147,century,11
147,century,20
147,century,"8, 16"
147,chad,"3, 7, 13-15"
147,chagall,4
147,chair,"2, 20"
147,chair,3
147,chair,2
147,chairman,6
147,chairman,2
147,challenge,8
147,challenge,19
147,challenging,"7-8, 10, 19"
147,chance,13
147,chance,10
147,changed,18
147,channel,3
147,character,12
147,charge,20
147,charity,12
147,charity,6
147,charm,18
147,charming,8
147,chase,17
147,chat,2
147,chatted,3
147,chatting,6
147,chatting,6
147,cheering,17
147,cheers,19
147,child,6
147,children,"6, 10"
147,chinese,15
147,choice,"4-7, 14-15"
147,choosing,13
147,chose,"8, 11"
147,chose,8
147,chosen,"4, 8"
147,christmas,2
147,christmas,12
147,christmas,"2, 12"
147,church,2
147,circular,19
147,circulation,3
147,city,"7, 14, 20"
147,claiming,17
147,claims,19
147,class,14
147,classed,13
147,classic,"5, 8"
147,clear,11
147,clearly,13
147,clever,"8, 10"
147,cleverly,8
147,clicking,9
147,clientele,13
147,cliff,3
147,climber,17
147,clipper,3
147,closed,17
147,closely,"9, 18"
147,closing,10
147,cloud-cut,4
147,club,2
147,club,"3, 13, 16"
147,club,"2-3, 13, 18-19"
147,club,"7-8, 11, 19"
147,clubs,13
147,clubs,10
147,coffee,2
147,collaborations,12
147,collage,"8, 14"
147,collect,3
147,collection,"2-3, 13"
147,collections,"2, 13"
147,collector,"3, 8, 16"
147,college,10
147,colonial,7
147,colorful,8
147,colour,"4, 7, 10, 18"
147,colourful,"3, 12"
147,colours,11
147,colours,4
147,combines,4
147,come,"5, 12"
147,comfort,16
147,coming,3
147,coming,16
147,coming,2
147,commented,7
147,comments,13
147,committee,20
147,common,17
147,community,"8, 12"
147,companion,3
147,companions,5
147,company,12
147,company,"12, 15"
147,company,"3, 18"
147,competition,17
147,competition,17
147,competition,17
147,competitive,17
147,complaining,16
147,complete,19
147,complete,"8, 11, 17"
147,complete,"8, 18"
147,completed,"3, 8, 10, 14, 17"
147,completely,8
147,complex,5
147,composite,15
147,comprising,10
147,conceived,8
147,conclusion,11
147,confidence,10-11
147,confound,8
147,confraternity,1
147,confusing,10
147,congratulations,19
147,connected,8
147,considerable,13
147,considerably,13
147,considering,19
147,consistent,8
147,constantin,4
147,contact,19-20
147,contained,11
147,containing,"4, 9"
147,contains,17
147,contemporary,"8, 12"
147,content,2
147,contentedly,18
147,contents,"2, 9"
147,contest,8
147,continue,"2-3, 12"
147,continuing,7
147,continuous,5
147,contract,3
147,contributor,11
147,controversial,16
147,convenient,20
147,convenient,9
147,conversation,18
147,cooper,7
147,cooper,4
147,copyright,2
147,cornish,11
147,cornwall,19
147,correct,19
147,corsets,17
147,cost,7-8
147,cotton,12
147,could,11
147,could,"10-13, 18"
147,couldnt,"16, 18"
147,count,"8, 13, 16"
147,counted,18
147,country,3
147,county,17
147,county,17
147,couple,"3, 7-9, 11"
147,courage,17
147,course,"6, 17"
147,course,17
147,covell,"14, 20"
147,covells,5
147,coventry,20
147,coventry,20
147,cover,2
147,cover,"4, 10"
147,covered,14
147,covers,3
147,covid,2
147,covid,2
147,covid,"2, 7"
147,craftsman,15
147,craftsman,11
147,craig,12
147,create,12
147,created,"13, 18"
147,creating,"2, 12"
147,creation,12
147,creation,2
147,cricieth,20
147,critical,2
147,cross,5
147,crossword,17
147,crossword,"2, 17"
147,crowned,4
147,cunard,3
147,cup,11
147,cupid,6
147,currently,19
147,cushions,16
147,custom,8
147,cut,"7-8, 14"
147,cut,11
147,cut,"3-8, 11-16, 19"
147,cut,2
147,cut,"4, 13, 16"
147,cut-glass,4
147,cuts,4-5
147,cuts,3
147,cutter,10
147,cutter,"3, 7, 16"
147,cutter,"5, 7, 10, 12-13, 17, 19"
147,cutter,19
147,cutting,"5, 10, 16"
147,cutting,"4-5, 10, 14, 19"
147,cwrt,20
147,cycle,10-11
147,daily,"14, 19"
147,dance,12
147,dark,18
147,data,18
147,dates,20
147,dates,"5, 19"
147,dating,10
147,daughter,"2, 14"
147,dave,"4-5, 7"
147,davici,7
147,david,"2, 4, 6, 9, 14-17, 20"
147,davids,5-6
147,day,20
147,day,18
147,day,"3, 20"
147,day,"3, 8, 12, 20"
147,day,7
147,days,14
147,days,2
147,days,"12, 18"
147,days,8
147,deadline,20
147,dealer,18
147,dean,20
147,death,10-11
147,decanter,4
147,december,"7, 17"
147,decided,"12, 18"
147,decidedly,14
147,decorative,"2, 11"
147,definitely,"3, 18"
147,delicate,5
147,delighted,20
147,demand,8
147,demonstrating,9
147,dennis,10
147,denying,10
147,depleted,19
147,describes,16
147,deserves,11
147,design,3
147,design,"3, 11-12"
147,design,"6, 11"
147,designed,"11-12, 14"
147,designed,8
147,designs,8
147,designs,12
147,desirable,13
147,desk,10
147,destroyed,13
147,destroying,15
147,detail,10
147,detail,5
147,detail,"6, 9"
147,details,8
147,determination,17
147,developed,9
147,device,3
147,devis,5
147,devoted,7
147,dicksee,5
147,dicksee,5
147,did,"11, 18"
147,did,6
147,didnt,8
147,died,"5, 18"
147,died,18
147,different,"8, 11, 16"
147,difficult,"8, 16"
147,difficult,"8, 18"
147,difficulty,3
147,dimension,12
147,directly-marketed,3
147,directory,10
147,disappearing,12
147,discovered,3
147,discussion,7
147,discussions,7
147,display,14
147,displayed,"2, 5"
147,dissectologists,1
147,distinctive,13
147,distributed,11
147,distribution,11
147,divided,4-5
147,divisions,16
147,dms,6
147,does,"5, 19"
147,does,11
147,dog,6
147,dogs,6
147,doing,"7, 10, 17-18"
147,doing,2
147,donated,"12, 17"
147,done,18
147,done,18
147,done,3
147,dont,12
147,dont,"3, 11, 13, 18, 20"
147,dots,14
147,doull,10-11
147,doulls,11
147,down,17
147,down,17
147,download,9
147,drake,13
147,drink,4
147,drink,9
147,drool,7
147,dropper,5
147,duck,19
147,ducks,19
147,due,2
147,dull,17
147,duncan,15
147,dunlop,15
147,dunlop,3
147,during,15
147,during,12
147,during,"4, 11-15"
147,dyes,12
147,each,4
147,each,12
147,each,"7, 17-18"
147,earlet,5
147,earlets,6
147,earliest,16
147,early,"7, 11, 19-20"
147,east,20
147,east,20
147,eastbourne,10-11
147,eastbourne,10-11
147,eastbourne,"10, 20"
147,easy,8-9
147,ebay,"6, 12"
147,ebay,13-14
147,ebay,19
147,edge,3
147,edge,8
147,edges,5
147,edges,8
147,edmund,5
147,educa,6
147,edward,15
147,effort,2
147,effort,2
147,egm,2
147,eight,11
147,eighteenth,16
147,either,18
147,either,8
147,elaborate,8
147,elbow,4
147,elder,10
147,eldest,10
147,electric,11
147,elephants,7
147,elite,17
147,elizabeth,14
147,else,10
147,else,"5, 10"
147,else,11
147,elsewhere,17
147,elvgren,7
147,e-mail,11
147,e-mailed,20
147,emma,"2-3, 11, 20"
147,emma,3
147,encourages,16
147,end,"13, 17-18"
147,endearing,6
147,ended,18
147,ending,18
147,ending,19
147,enevolent,1
147,engineers,10
147,engines,16
147,england,12-13
147,english,3
147,english,17
147,enhanced,12
147,enhancement,2
147,enigma,11
147,enjoy,2
147,enjoy,3
147,enjoy,"9, 19"
147,enjoyed,"3, 8"
147,enough,"2, 10"
147,enquiry,10
147,ensure,"7, 18"
147,enter,17
147,enter,9
147,entertaining,3
147,entire,19
147,entitled,7
147,entitled,"4, 12, 15, 18"
147,entries,19
147,enys,11
147,equal,13
147,equivalent,15
147,especially,3
147,essential,17
147,established,7
147,etc,3
147,europe,20
147,evans,5
147,eve,2
147,even,17
147,even,"3, 8, 10, 16, 18"
147,event,17
147,event,"2, 17, 20"
147,events,2
147,events,20
147,eventually,"2, 11"
147,ever,"16, 18"
147,every,"7-8, 12, 18"
147,everyone,18
147,everyone,"2-3, 17, 19"
147,everything,"7, 17-18"
147,evocative,3
147,evolves,17
147,example,"3, 10, 13"
147,example,12
147,except,"7, 18"
147,excite,3
147,excited,18
147,excitement,3
147,exciting,20
147,excuse,3
147,exhibition,16
147,exhibition,14
147,existed,"11, 13"
147,existence,13
147,exit,20
147,exotic,17
147,expect,2
147,expect,20
147,expensive,16
147,experience,8
147,experience,19
147,experienced,18
147,explained,8
147,explore,2
147,explosion,15
147,exposed,13
147,expressed,2
147,extant,11
147,extensive,"5, 16"
147,extra,"8, 16, 20"
147,eyck,5
147,eye,"6, 11, 18"
147,eyed,7
147,fabulous,7
147,facebook,"2-3, 7"
147,faces,12
147,facility,9
147,fair,10
147,fair,10
147,fairey,16
147,fairs,12
147,fairy,"2, 10, 18-19"
147,fairy,18
147,family,20
147,family,"2, 5, 11, 18"
147,fan,8
147,fancy,3
147,fanny,10
147,fans,8
147,fantastic,2
147,fantasy,6
147,far,"3, 7, 10, 19"
147,father,12
147,father,"10, 15"
147,favorite,8
147,favourite,"5, 16"
147,featured,8
147,features,14
147,features,"6, 12"
147,featuring,8
147,february,"3, 17"
147,february,20
147,feel,11
147,feeling,18
147,fel,20
147,fell,17
147,fellow-puzzler,3
147,festival,2
147,few,"4, 9-12, 18-19"
147,fewer,6
147,figural,"4, 8"
147,figurals,8
147,figure-it-out,6
147,figurethen,5
147,files,9
147,final,"4-6, 11, 14-15, 18"
147,finally,"11, 18"
147,finally,7
147,find,17
147,find,"2-3, 6, 8, 10-11, 17-18"
147,fine,4
147,fine,"8, 12"
147,finish,18
147,finished,12
147,finneran,17
147,firebird,"4, 7"
147,firs,13
147,first,15
147,first,"2-7, 11-12, 14-20"
147,first,17
147,fit,"8, 17"
147,fit,5
147,five,"8, 10, 14"
147,fkm,11
147,fkm,10
147,flag,2
147,flamboyant,10
147,flanders,17
147,flashy,10
147,flat,10
147,fleet,16
147,flew,"2, 16"
147,flickr,4
147,flickr,16
147,flickr,11
147,flickr,"2, 6, 11, 20"
147,flight,15
147,floating,4
147,flourishing,13
147,flowers,10
147,flying,16
147,flying,15
147,focus,6
147,focused,12
147,follow,7
147,follow,"7, 11, 20"
147,following,"2, 7"
147,food,18
147,for,8
147,for,"8, 13"
147,for,11
147,for,"12, 17-18, 20"
147,for,2-20
147,force,15
147,ford,19
147,ford,10
147,forests,12
147,forgotten,6
147,format,3
147,formed,16
147,former,2
147,forty,11
147,forward,2-3
147,foster,3
147,found,"3, 8, 12, 19"
147,founded,12
147,four,"6, 10, 14, 16, 19"
147,fourteen,6
147,fragment,18
147,fragonard,4
147,frame,4
147,france,8
147,frances,"4, 15"
147,francis,5
147,francisco,11
147,frank,5
147,fraternity,3
147,free,9
147,freebie,15
147,fretsaw,11
147,friday,"13, 20"
147,fridayafternoon,3
147,friend,6
147,friendly,"7, 19"
147,friends,4
147,friends,11
147,friendship,2
147,friendship,4
147,friendship,4
147,friendship,6
147,from,18
147,from,"2, 7, 11, 20"
147,from,2-20
147,front,"3-4, 18, 20"
147,front,3
147,frontispiece,10
147,full,18
147,full,9-10
147,fully-,3
147,fun,7
147,fun,"7-8, 12, 17"
147,furrow,3
147,further,8-9
147,gain,9
147,gallery,5
147,gallipoli,15
147,gap,7
147,gardens,7
147,gare,16
147,garner,4
147,gather,10
147,gathering,10
147,gatherings,2
147,gave,8
147,gaze,6
147,general,"3, 8"
147,genest,17
147,geometric-feel,5
147,george,5-6
147,georgina,10
147,german,18
147,germany,18
147,germany,18
147,get,"2-3, 7, 10-11, 19"
147,ghosts,3
147,gift,"8, 17"
147,gigantic,8
147,giles,11
147,gillette,7
147,give,"3, 10-11"
147,given,12
147,giving,4
147,glasses,4
147,glenfield,2
147,global,7
147,gneither,17
147,goal,12
147,godfrey,7
147,goes,7
147,going,"7, 17"
147,gold,7
147,gold,15
147,gold,15
147,good,"3, 5"
147,good,"2-3, 7, 14, 17-18"
147,gordon,3
147,gory,8
147,got,"2, 8, 10-11, 18"
147,grab,9
147,gradually,18
147,graham,"5-6, 16, 20"
147,grand,17
147,granted,17
147,grateful,11
147,gravitate,3
147,great,17
147,great,"2, 5, 7, 17"
147,greatly,"11, 16"
147,green,12
147,greenwich,15
147,grew,18
147,grey,10
147,grid,"5, 15"
147,group,7
147,group,7
147,group,"2, 7, 11-12"
147,grove,10-11
147,grow,"7, 18"
147,guide,"8, 19"
147,guido,6
147,guildford,20
147,guildford,12
147,guinea,13
147,gupta,8
147,gwr,3
147,gwr,15
147,had,"2, 5-8, 10-15, 17-19"
147,hadnt,18
147,hail,"3, 6"
147,half,"6, 18-19"
147,hall,"2-3, 19"
147,hand,"4, 7, 13, 18-19"
147,hand-crafted,12
147,handcut,6
147,hand-cut,"8, 19"
147,handle,10
147,hangs,15
147,happen,"10, 18"
147,happened,16
147,happened,17
147,happy,2
147,happy,"2, 12, 18"
147,harborough,3
147,harborough,2-3
147,hard,"8, 14"
147,hard,8
147,harder,6
147,harder,8
147,hardly,18
147,harmony,3
147,harper,15
147,harpers,4
147,harry,19
147,hartfield,10-11
147,has,"2-5, 8-9, 11-12, 19"
147,have,"2-4, 7-8, 10-13, 17-20"
147,havent,18
147,having,13
147,having,"3, 12"
147,having,"8, 17"
147,hawke,19
147,hayduk,11
147,head,16
147,head,"8, 18"
147,heap,18
147,heap,18
147,hear,17
147,heard,7
147,hearing,2
147,heart,3
147,heather,"5, 19"
147,heigh,17
147,held,"2, 15, 17"
147,helen,"4, 6"
147,helicopter,16
147,helmore,4
147,help,"2, 8-9"
147,helped,3
147,helped,"2, 11"
147,helping,19
147,henley,12
147,henley-on-,12
147,henley-onthe,12
147,her,"5, 14, 16"
147,her,"2-3, 6, 10-11, 13, 15-16, 18-19"
147,her,10
147,here,16
147,here,2
147,here,4
147,here,4
147,herold,20
147,hidden,17
147,hide,11
147,high,12
147,higher,13
147,highlighting,11
147,highly,"7, 10"
147,hill,13
147,him,5
